Sale_ID,Date,Product_ID,Customer_ID,Region,Salesperson_ID,Quantity,Unit_Price,Discount
SAL00107,2024-09-19,P002,C0231,North,S009,1,83.63,0.1
SAL00108,2025-03-14,P009,C0570,West,S010,6,45.45,0.0
SAL00109,2024-11-15,P005,C0011,North,S006,4,33.59,0.0
SAL00110,2024-10-22,P012,C0727,North,S003,10,121.45,0.15
SAL00111,2025-02-22,P004,C0295,South,S006,1,46.66,0.0
SAL00112,2025-05-21,P009,C0211,South,S004,3,47.52,0.1
SAL00113,2024-10-05,P006,C0412,North,S010,5,102.73,0.05
SAL00114,2025-05-19,P016,C0757,South,S003,2,76.54,0.0
SAL00115,2024-10-30,P017,C0217,East,S001,9,72.88,0.05
SAL00116,2025-07-21,P015,C0341,West,S006,3,6.78,0.0
SAL00117,2024-10-06,P017,C0697,East,S010,3,82.14,0.0
SAL00118,2024-07-27,P015,C0581,East,S002,2,7.59,0.1
SAL00119,2024-07-25,P017,C0921,North,S003,3,79.92,0.0
SAL00120,2025-01-07,P004,C0865,South,S004,10,49.82,0.0
SAL00121,2024-09-04,P010,C0770,West,S010,8,82.31,0.0
SAL00122,2025-03-02,P013,C0371,West,S003,5,113.53,0.0
SAL00123,2025-02-18,P006,C0734,West,S004,8,109.77,0.05
SAL00124,2024-12-03,P012,C0227,East,S006,3,114.73,0.0
SAL00125,2024-10-12,P003,C0093,East,S008,8,98.19,0.0
SAL00126,2024-10-12,P001,C0209,North,S010,10,75.85,0.1
SAL00127,2024-08-17,P001,C0015,North,S003,9,87.76,0.05
SAL00128,2025-02-22,P017,C0916,West,S009,3,68.71,0.0
SAL00129,2024-08-02,P001,C0317,West,S009,3,88.9,0.05
SAL00130,2024-11-11,P003,C0912,East,S002,10,97.69,0.1
SAL00131,2025-03-29,P009,C0662,East,S007,1,50.63,0.0
SAL00132,2025-04-26,P019,C0032,West,S001,6,22.02,0.1
SAL00133,2024-09-11,P009,C0463,East,S008,7,54.87,0.0
SAL00134,2024-11-28,P007,C0977,West,S008,1,7.29,0.1
SAL00135,2025-03-04,P017,C0235,North,S005,10,67.87,0.05
SAL00136,2024-12-10,P010,C0187,West,S002,8,86.96,0.0
SAL00137,2024-08-30,P012,C0653,East,S009,5,115.97,0.15
SAL00138,2025-05-29,P010,C0057,North,S002,1,78.09,0.1
SAL00139,2024-10-10,P019,C0216,West,S005,1,23.91,0.1
SAL00140,2024-11-28,P019,C0384,North,S005,7,25.8,0.15
SAL00141,2025-06-10,P003,C0022,South,S002,1,127.5,0.05
SAL00142,2025-06-02,P009,C0304,West,S005,8,51.38,0.05
SAL00143,2025-03-06,P003,C0434,South,S002,8,97.22,0.05
SAL00144,2025-02-07,P013,C0836,North,S002,2,97.98,0.0
SAL00145,2025-07-11,P009,C0062,East,S002,7,43.08,0.0
SAL00146,2024-10-28,P017,C0531,West,S006,6,77.61,0.0
SAL00147,2024-10-31,P004,C0782,North,S009,10,46.18,0.0
SAL00148,2024-11-08,P003,C0678,West,S004,1,94.86,0.1
SAL00149,2025-06-06,P012,C0670,East,S003,9,109.69,0.05
SAL00150,2024-11-23,P013,C0401,West,S009,10,99.26,0.0
SAL00151,2025-04-26,P013,C0205,South,S003,10,124.46,0.1
SAL00152,2025-01-21,P010,C0535,South,S010,3,101.01,0.0
SAL00153,2025-07-16,P007,C0170,West,S007,8,8.77,0.0
SAL00154,2024-07-29,P015,C0640,North,S010,2,8.28,0.0
SAL00155,2025-02-28,P010,C0952,West,S008,1,88.76,0.0
SAL00156,2025-02-21,P020,C0657,East,S001,2,140.35,0.0
SAL00157,2024-11-15,P001,C0983,West,S001,10,86.26,0.0
SAL00158,2024-12-15,P017,C0560,North,S007,5,78.19,0.1
SAL00159,2024-12-08,P006,C0567,West,S002,3,112.62,0.1
SAL00160,2025-06-01,P006,C0683,North,S002,9,111.33,0.05
SAL00161,2025-06-13,P002,C0780,East,S010,7,89.45,0.05
SAL00162,2025-02-28,P005,C0200,South,S002,2,37.99,0.15
SAL00163,2024-10-27,P009,C0616,East,S006,6,45.22,0.0
SAL00164,2024-08-12,P012,C0982,East,S004,4,121.2,0.05
SAL00165,2025-05-18,P006,C0526,East,S003,5,90.92,0.05
SAL00166,2025-01-02,P003,C0273,North,S001,6,97.42,0.0
SAL00167,2025-06-14,P014,C0454,West,S007,5,69.58,0.1
SAL00168,2025-07-15,P017,C0649,South,S005,4,79.93,0.1
SAL00169,2025-04-18,P015,C0911,North,S010,9,8.41,0.1
SAL00170,2025-05-01,P008,C0884,North,S002,2,112.81,0.1
SAL00171,2025-04-07,P008,C0546,East,S005,6,108.78,0.1
SAL00172,2025-03-01,P013,C0553,North,S007,10,119.51,0.0
SAL00173,2024-08-14,P011,C0015,East,S007,9,48.8,0.0
SAL00174,2024-09-11,P016,C0972,West,S010,1,82.39,0.1
SAL00175,2024-11-15,P001,C0374,East,S001,1,67.54,0.0
SAL00176,2025-07-12,P010,C0311,South,S005,6,89.49,0.1
SAL00177,2025-05-12,P016,C0149,West,S009,1,65.05,0.0
SAL00178,2025-03-23,P009,C0120,East,S005,8,54.66,0.0
SAL00179,2025-01-27,P002,C0755,South,S009,9,90.12,0.0
SAL00180,2025-05-07,P014,C0544,South,S006,2,78.23,0.1
SAL00181,2024-07-29,P014,C0013,South,S010,2,79.45,0.1
SAL00182,2025-05-26,P003,C0093,West,S004,10,124.06,0.15
SAL00183,2024-11-21,P012,C0885,South,S003,7,117.93,0.05
SAL00184,2025-07-16,P003,C0713,West,S004,7,115.01,0.1
SAL00185,2025-02-20,P016,C0969,West,S006,5,63.83,0.05
SAL00186,2024-08-23,P013,C0073,West,S002,1,96.7,0.0
SAL00187,2024-09-08,P016,C0544,East,S009,7,80.6,0.0
SAL00188,2024-10-24,P011,C0067,South,S004,1,36.94,0.05
SAL00189,2025-02-01,P009,C0080,South,S001,8,46.05,0.0
SAL00190,2024-08-13,P017,C0332,West,S007,6,74.77,0.0
SAL00191,2024-08-12,P008,C0116,South,S004,7,105.28,0.0
SAL00192,2025-03-21,P002,C0404,East,S005,8,89.85,0.0
SAL00193,2024-12-18,P014,C0244,North,S008,7,75.56,0.0
SAL00194,2024-10-06,P012,C0511,West,S007,4,105.22,0.05
SAL00195,2024-11-24,P007,C0367,West,S001,5,7.3,0.1
SAL00196,2025-01-03,P007,C0984,West,S002,6,8.87,0.0
SAL00197,2025-01-30,P002,C0978,East,S003,1,92.03,0.0
SAL00198,2024-12-18,P006,C0720,East,S006,1,115.11,0.15
SAL00199,2025-04-05,P018,C0934,North,S001,5,124.05,0.0
SAL00200,2025-06-13,P018,C0348,East,S005,10,101.18,0.0
SAL00201,2024-09-11,P002,C0100,North,S001,10,108.03,0.15
SAL00202,2025-01-15,P006,C0211,West,S009,9,94.76,0.0
SAL00203,2024-09-17,P019,C0638,West,S004,5,19.58,0.0
SAL00204,2025-02-27,P008,C0923,West,S010,5,102.18,0.1
SAL00205,2025-06-21,P005,C0941,West,S007,8,35.95,0.1
SAL00206,2025-02-25,P013,C0908,South,S003,2,100.79,0.0
SAL00207,2025-07-20,P012,C0014,South,S006,8,114.94,0.05
SAL00208,2025-02-16,P001,C0396,East,S009,7,78.39,0.0
SAL00209,2024-09-03,P007,C0027,West,S001,9,7.03,0.0
SAL00210,2024-08-05,P006,C0608,East,S001,3,121.16,0.1
SAL00211,2025-02-20,P019,C0877,North,S001,8,22.08,0.05
SAL00212,2024-11-07,P007,C0168,South,S002,5,8.61,0.0
SAL00213,2025-03-26,P001,C0917,North,S004,8,75.46,0.1
SAL00214,2024-08-03,P001,C0343,West,S009,2,87.73,0.15
SAL00215,2025-02-01,P002,C0123,South,S007,5,95.96,0.0
SAL00216,2025-05-08,P018,C0613,West,S010,5,125.06,0.0
SAL00217,2024-08-31,P005,C0602,East,S006,7,38.75,0.1
SAL00218,2024-12-11,P002,C0198,South,S002,7,91.7,0.05
SAL00219,2024-09-01,P001,C0846,West,S007,8,81.01,0.05
SAL00220,2025-07-11,P006,C0951,East,S008,2,90.61,0.0
SAL00221,2025-04-15,P015,C0692,North,S006,2,7.7,0.0
SAL00222,2024-09-12,P012,C0794,North,S004,5,115.47,0.0
SAL00223,2024-08-16,P009,C0469,North,S007,4,53.2,0.05
SAL00224,2024-10-13,P015,C0400,East,S004,8,8.1,0.0
SAL00225,2024-08-08,P007,C0388,West,S010,7,7.9,0.1
SAL00226,2025-07-02,P009,C0404,North,S010,4,41.19,0.0
SAL00227,2024-10-02,P012,C0081,North,S007,5,120.67,0.0
SAL00228,2024-08-21,P001,C0702,West,S007,2,89.46,0.0
SAL00229,2025-02-27,P012,C0349,North,S002,9,131.13,0.0
SAL00230,2025-01-23,P002,C0172,South,S003,9,89.06,0.05
SAL00231,2025-03-06,P020,C0708,East,S010,2,114.56,0.05
SAL00232,2025-04-12,P002,C0804,South,S002,10,102.82,0.0
SAL00233,2025-04-24,P013,C0022,North,S005,2,123.82,0.1
SAL00234,2024-12-28,P013,C0215,South,S002,9,110.98,0.0
SAL00235,2025-01-18,P004,C0629,North,S002,4,46.41,0.0
SAL00236,2025-06-03,P004,C0906,East,S005,4,50.59,0.0
SAL00237,2024-10-04,P012,C0745,West,S003,8,106.25,0.05
SAL00238,2024-11-28,P007,C0061,East,S001,8,8.81,0.15
SAL00239,2025-02-06,P003,C0490,West,S005,10,111.28,0.05
SAL00240,2025-03-03,P009,C0512,East,S010,1,44.3,0.0
SAL00241,2024-10-12,P001,C0680,South,S003,7,89.16,0.0
SAL00242,2025-03-29,P009,C0797,East,S007,9,46.44,0.05
SAL00243,2025-03-03,P019,C0545,North,S002,2,22.4,0.1
SAL00244,2025-03-02,P003,C0365,East,S010,10,111.15,0.0
SAL00245,2024-10-14,P004,C0202,East,S009,10,41.36,0.0
SAL00246,2025-01-11,P013,C0218,South,S003,4,113.41,0.0
SAL00247,2025-07-02,P004,C0594,North,S010,9,50.25,0.1
SAL00248,2025-01-12,P009,C0994,West,S004,8,41.64,0.15
SAL00249,2025-06-28,P019,C0995,West,S005,8,19.4,0.05
SAL00250,2025-05-19,P017,C0741,West,S006,8,64.34,0.1
SAL00251,2025-02-14,P012,C0896,South,S001,8,119.28,0.1
SAL00252,2024-10-12,P006,C0878,South,S007,9,89.72,0.15
SAL00253,2025-07-16,P010,C0079,West,S002,7,76.84,0.0
SAL00254,2024-07-30,P006,C0250,North,S009,1,96.75,0.0
SAL00255,2024-07-27,P017,C0875,West,S002,7,84.35,0.0
SAL00256,2025-06-17,P006,C0297,South,S002,2,96.69,0.0
SAL00257,2025-04-12,P001,C0688,North,S002,8,75.36,0.0
SAL00258,2025-02-28,P003,C0048,East,S004,2,95.76,0.05
SAL00259,2025-07-20,P019,C0443,South,S008,5,25.2,0.0
SAL00260,2025-05-28,P012,C0698,North,S006,4,124.17,0.15
SAL00261,2025-05-30,P002,C0585,South,S002,6,85.98,0.05
SAL00262,2025-07-25,P017,C0383,South,S002,1,83.88,0.0
SAL00263,2025-03-26,P020,C0035,North,S008,3,120.9,0.0
SAL00264,2025-05-23,P005,C0452,West,S003,3,34.78,0.1
SAL00265,2024-08-04,P016,C0139,South,S001,10,72.6,0.0
SAL00266,2024-10-25,P019,C0796,West,S009,7,22.77,0.0
SAL00267,2024-12-19,P013,C0945,East,S010,9,113.48,0.15
SAL00268,2024-08-01,P002,C0660,West,S004,8,109.48,0.1
SAL00269,2025-05-26,P001,C0797,South,S007,4,74.81,0.0
SAL00270,2025-04-22,P002,C0895,West,S010,3,108.71,0.0
SAL00271,2025-05-06,P005,C0795,East,S004,3,32.87,0.0
SAL00272,2024-09-11,P004,C0734,South,S006,7,51.06,0.15
SAL00273,2024-08-06,P004,C0626,South,S003,9,47.32,0.0
SAL00274,2025-04-26,P001,C0863,West,S008,5,73.04,0.0
SAL00275,2024-10-04,P003,C0689,South,S005,9,122.22,0.1
SAL00276,2024-11-14,P002,C0689,West,S008,2,98.65,0.1
SAL00277,2025-04-30,P015,C0331,North,S006,5,6.4,0.15
SAL00278,2024-12-13,P011,C0805,East,S003,7,44.75,0.05
SAL00279,2025-07-03,P018,C0716,South,S006,8,114.49,0.05
SAL00280,2025-06-27,P016,C0840,West,S006,7,69.71,0.05
SAL00281,2024-10-23,P008,C0041,West,S006,5,101.87,0.0
SAL00282,2024-08-16,P008,C0565,North,S009,5,91.11,0.1
SAL00283,2025-01-28,P014,C0555,South,S004,10,64.76,0.0
SAL00284,2024-12-02,P007,C0802,North,S009,2,7.7,0.1
SAL00285,2025-05-24,P009,C0159,North,S009,5,45.14,0.0
SAL00286,2025-01-20,P013,C0289,South,S010,8,124.29,0.15
SAL00287,2025-03-02,P020,C0443,South,S002,6,107.49,0.1
SAL00288,2025-03-22,P020,C0684,North,S009,7,107.71,0.15
SAL00289,2025-06-15,P017,C0879,North,S002,2,72.78,0.05
SAL00290,2024-10-25,P019,C0048,West,S008,3,23.87,0.0
SAL00291,2025-02-08,P010,C0624,West,S003,5,84.06,0.0
SAL00292,2025-05-02,P001,C0216,South,S002,6,69.27,0.0
SAL00293,2025-06-30,P009,C0996,South,S006,5,43.93,0.0
SAL00294,2024-11-30,P005,C0941,West,S007,5,30.98,0.15
SAL00295,2024-11-24,P013,C0566,South,S005,6,92.65,0.0
SAL00296,2024-11-07,P014,C0499,North,S001,2,75.59,0.1
SAL00297,2024-12-11,P008,C0133,North,S009,2,98.73,0.1
SAL00298,2024-09-18,P014,C0317,South,S006,9,62.72,0.0
SAL00299,2025-03-10,P009,C0196,South,S010,2,50.83,0.05
SAL00300,2024-09-01,P006,C0428,South,S008,9,104.93,0.0
SAL00301,2025-07-20,P016,C0078,East,S010,8,67.26,0.0
SAL00302,2024-07-31,P004,C0842,North,S009,6,46.29,0.0
SAL00303,2025-01-11,P017,C0456,North,S004,10,67.04,0.0
SAL00304,2024-08-12,P012,C0667,West,S008,7,134.48,0.15
SAL00305,2024-11-29,P019,C0249,West,S005,1,20.74,0.0
SAL00306,2025-05-05,P005,C0146,South,S002,8,33.47,0.0
SAL00307,2024-09-09,P006,C0963,North,S010,5,109.74,0.0
SAL00308,2025-07-24,P010,C0579,East,S004,9,98.47,0.0
SAL00309,2025-04-09,P015,C0389,East,S009,8,6.62,0.05
SAL00310,2024-10-13,P002,C0634,North,S010,3,96.44,0.0
SAL00311,2024-09-12,P015,C0300,South,S008,9,7.7,0.0
SAL00312,2024-10-04,P020,C0997,East,S002,7,120.94,0.0
SAL00313,2025-03-16,P014,C0576,North,S010,2,64.16,0.0
SAL00314,2025-03-05,P010,C0818,West,S006,7,103.05,0.05
SAL00315,2025-05-12,P020,C0835,East,S001,1,138.9,0.1
SAL00316,2024-08-31,P010,C0088,South,S002,1,103.71,0.0
SAL00317,2025-02-23,P017,C0612,East,S010,5,77.19,0.0
SAL00318,2024-09-08,P020,C0724,East,S002,10,133.55,0.05
SAL00319,2025-07-24,P018,C0461,East,S003,5,120.24,0.15
SAL00320,2025-07-23,P002,C0089,North,S002,9,107.56,0.05
SAL00321,2025-05-24,P017,C0341,South,S006,5,66.65,0.0
SAL00322,2024-12-10,P010,C0954,West,S006,9,98.27,0.0
SAL00323,2024-11-12,P012,C0136,South,S002,9,112.38,0.0
SAL00324,2024-09-16,P012,C0174,North,S004,5,106.07,0.0
SAL00325,2025-03-01,P013,C0015,South,S010,5,112.08,0.05
SAL00326,2024-11-09,P007,C0752,East,S010,4,7.32,0.0
SAL00327,2025-04-25,P011,C0480,East,S009,6,48.14,0.0
SAL00328,2024-10-31,P005,C0067,West,S008,6,31.94,0.0
SAL00329,2025-06-11,P006,C0415,South,S007,7,111.76,0.15
SAL00330,2025-03-26,P004,C0055,West,S001,2,49.33,0.0
SAL00331,2024-08-06,P011,C0831,East,S004,2,39.08,0.0
SAL00332,2025-06-20,P008,C0633,West,S006,4,101.26,0.05
SAL00333,2024-12-06,P015,C0112,East,S008,6,7.35,0.0
SAL00334,2024-12-19,P004,C0782,West,S003,2,40.95,0.05
SAL00335,2025-05-25,P017,C0498,North,S009,4,69.69,0.1
SAL00336,2025-01-21,P002,C0705,East,S008,2,111.7,0.1
SAL00337,2024-11-23,P014,C0718,South,S008,1,69.75,0.0
SAL00338,2024-09-22,P007,C0707,North,S007,6,7.87,0.0
SAL00339,2024-09-30,P014,C0179,North,S002,3,84.29,0.15
SAL00340,2025-05-07,P007,C0513,West,S010,2,7.27,0.0
SAL00341,2025-02-04,P009,C0984,West,S001,2,40.88,0.0
SAL00342,2025-07-16,P018,C0877,North,S007,1,122.31,0.0
SAL00343,2025-02-05,P018,C0508,East,S010,5,105.51,0.15
SAL00344,2024-09-18,P016,C0135,East,S007,6,80.1,0.0
SAL00345,2025-01-05,P017,C0293,South,S007,10,71.16,0.0
SAL00346,2025-04-29,P019,C0839,West,S006,6,21.61,0.1
SAL00347,2024-10-09,P001,C0972,West,S010,8,73.48,0.0
SAL00348,2024-10-28,P012,C0815,North,S006,4,103.63,0.15
SAL00349,2024-08-28,P015,C0850,North,S005,8,7.38,0.15
SAL00350,2025-02-19,P016,C0570,North,S001,2,78.48,0.1
SAL00351,2025-03-08,P004,C0973,North,S009,1,51.36,0.0
SAL00352,2025-03-04,P015,C0062,West,S010,10,8.29,0.1
SAL00353,2024-09-16,P007,C0185,West,S007,6,7.87,0.05
SAL00354,2025-01-24,P007,C0659,South,S004,7,8.01,0.0
SAL00355,2025-02-06,P014,C0526,South,S001,9,63.97,0.05
SAL00356,2025-04-16,P003,C0602,East,S003,3,104.86,0.05
SAL00357,2025-06-04,P007,C0390,South,S002,10,8.63,0.15
SAL00358,2024-11-06,P020,C0673,West,S002,9,136.84,0.0
SAL00359,2024-08-29,P020,C0836,West,S007,8,111.77,0.0
SAL00360,2024-10-03,P002,C0225,West,S004,4,95.33,0.1
SAL00361,2025-07-06,P011,C0083,East,S002,7,40.33,0.15
SAL00362,2025-03-16,P009,C0360,South,S008,5,42.97,0.0
SAL00363,2024-08-03,P007,C0546,East,S001,1,8.52,0.0
SAL00364,2024-09-22,P003,C0263,East,S004,2,128.37,0.1
SAL00365,2024-11-22,P001,C0512,South,S003,6,72.78,0.0
SAL00366,2025-02-02,P016,C0950,North,S005,7,74.86,0.0
SAL00367,2024-10-26,P008,C0878,West,S010,3,110.86,0.15
SAL00368,2024-10-04,P012,C0167,West,S003,8,111.12,0.0
SAL00369,2025-07-12,P014,C0900,West,S008,10,77.2,0.1
SAL00370,2025-06-21,P001,C0979,East,S001,2,90.25,0.0
SAL00371,2025-05-24,P004,C0801,East,S008,5,39.8,0.0
SAL00372,2025-04-15,P013,C0007,East,S002,2,117.87,0.1
SAL00373,2025-07-05,P001,C0852,North,S005,8,76.69,0.0
SAL00374,2025-05-09,P014,C0688,South,S009,6,66.26,0.0
SAL00375,2025-03-04,P017,C0075,West,S010,3,64.64,0.0
SAL00376,2025-07-07,P017,C0363,South,S006,2,74.17,0.05
SAL00377,2025-03-13,P005,C0092,West,S007,1,29.13,0.15
SAL00378,2024-12-17,P013,C0055,East,S007,6,105.03,0.0
SAL00379,2025-06-17,P017,C0621,East,S005,3,83.82,0.0
SAL00380,2025-02-12,P005,C0614,North,S003,5,28.87,0.0
SAL00381,2024-08-13,P019,C0010,North,S005,1,24.16,0.0
SAL00382,2024-10-24,P002,C0095,South,S001,9,96.8,0.1
SAL00383,2025-02-20,P004,C0980,West,S003,1,43.5,0.0
SAL00384,2025-01-10,P005,C0236,West,S002,10,38.56,0.0
SAL00385,2025-02-20,P003,C0805,West,S002,5,102.97,0.1
SAL00386,2025-02-01,P019,C0314,West,S002,6,20.97,0.0
SAL00387,2024-08-06,P012,C0360,East,S009,9,108.48,0.0
SAL00388,2025-04-18,P013,C0552,South,S006,8,113.82,0.15
SAL00389,2025-04-27,P007,C0789,East,S009,6,8.17,0.0
SAL00390,2025-03-04,P017,C0101,West,S010,5,73.04,0.1
SAL00391,2024-07-28,P010,C0116,East,S003,6,84.69,0.05
SAL00392,2025-04-09,P012,C0181,North,S008,3,112.44,0.15
SAL00393,2025-04-19,P005,C0612,North,S008,1,31.97,0.05
SAL00394,2025-03-31,P013,C0712,East,S007,5,112.56,0.05
SAL00395,2025-03-25,P001,C0928,North,S007,10,70.94,0.1
SAL00396,2024-09-05,P005,C0188,South,S002,4,29.11,0.0
SAL00397,2024-10-19,P017,C0719,East,S005,6,80.76,0.0
